,names,emptyPercent,fullPercent,annoyedPercent,lat,long,dist_to_mcgill
1,Notre Dame / Place Jacques Cartier,0.10483640179337976,0.0013423373190426036,0.10617873911242236,45.508183000000002,-73.554093999999992,0.00049333512499999291
2,Dézery/Ste-Catherine,0.028157665966965631,0.15724466701979101,0.18540233298675662,45.539200000000001,-73.541399999999996,0.002298793999999456
3,Saint-Denis / René-Lévesque,,,,45.512890000000006,-73.558499999999995,0.00035822089999990275
4,Berri / Saint-Antoine,0.0080079871872205007,0.05893865931230817,0.066946646499528667,45.512053603270942,-73.553930819034576,0.00053060557110090243
5,Hotel-de-Ville / Viger,,,,45.50938,-73.557222999999993,0.00037074560899992261
6,Saint-Antoine / de l'Hôtel-de-Ville,0.0195154063409144,0.14098777881821892,0.16050318515913331,45.508749999999999,-73.55613000000001,0.00040990819999924384
7,de l'Hôtel-de-Ville / Sainte-Catherine,0.042661039441338353,0.038110086180763066,0.080771125622101425,45.511640093571074,-73.562183976173415,0.00022617097543654023
8,Sanguinet /Ste-Catherine,0.075314373281651414,0.024966839245218433,0.10028121252686985,45.512737999999999,-73.561437999999995,0.00026073152799981861
9,Berri / Sainte-Catherine,0.026707306675760933,0.070849963394185575,0.097557270069946508,45.51462481358633,-73.559775352478027,0.0003407315309990834
10,Sainte-Catherine / Saint-Denis,0.31204234429421607,0.0094825420748555645,0.32152488636907162,45.513711370743636,-73.560547828674316,0.00030143833485010805
11,Saint-André / Saint-Antoine,0.044918449666783586,0.15036864571206829,0.19528709537885186,45.514076000000003,-73.552439000000007,0.00062693885699926643
12,Métro Saint-Laurent,0.032260848924278718,0.02202036291624513,0.054281211840523848,45.510659999999994,-73.564970000000002,0.00014609889999967244
13,Sanguinet / de Maisonneuve,0.050404153249654991,0.08540261892159344,0.13580677217124842,45.513390000000001,-73.562550000000002,0.00023799139999968044
14,St-Denis / Maisonneuve,0.077295014982293658,0.041089841248813229,0.11838485623110689,45.514648999999999,-73.562151999999998,0.00026861990499973531
15,Berri / de Maisonneuve,0.020292500689860118,0.071185183468162536,0.091477684158022654,45.515298999999999,-73.561273,0.00030547828999965101
16,Saint-André / de Maisonneuve,0.016555243899867136,0.087885821976052034,0.10444106587591917,45.516992929686616,-73.559657335281372,0.00038994735942661193
17,Robin / Amherst,0.019705270310442943,0.25202386024712398,0.27172913055756692,45.51905,-73.560909999999993,0.00039849219999984759
18,Saint-André / Ontario,0.026962523382571116,0.089434788558916109,0.11639731194148722,45.518889999999999,-73.56353,0.0003210585999996378
19,Savoie/Ontario,0.049922958397534668,0.0010320769516575156,0.050955035349192185,45.516370000000002,-73.564981200000005,0.00022892752543963483
20,Hotel de Ville / Ontario,0.019588306374679357,0.11365102113937657,0.13323932751405593,45.513480999999999,-73.566261999999995,0.00015159384499985389
21,Beaudry / Sherbrooke,0.031405171857870638,0.22879570119060164,0.26020087304847228,45.523007,-73.56518299999999,0.00040294765799985145
22,de la Commune / Berri,0.034401842802092526,0.10447551464905501,0.13887735745114754,45.510860000000001,-73.54983,0.00071777649999954485
23,Saint-Timothée / Sainte-Catherine,0.0047842670370615344,0.051892222039512319,0.056676489076573855,45.516992929686616,-73.557441830635057,0.00046824514154339408
24,Notre-Dame / Saint-Gabriel,0.15623004764009626,0.023686111229128608,0.17991615886922488,45.507143919284104,-73.555119037628174,0.00044606768308905962
25,de la Commune / Place Jacques-Cartier,0.011877184854483427,0.015871320545136069,0.027748505399619497,45.507192792674495,-73.552007675170913,0.0005871444875094221
26,Le Royer / Saint-Laurent,0.09384964786309101,0.062856885931387982,0.15670653379447899,45.505890000000001,-73.554310000000001,0.00048017059999961816
28,Belair/St-Antoine,0.0056842935087027778,0.084894811607928028,0.090579105116630809,45.482843000000003,-73.584351999999996,0.00061354903300018452
30,Saint-Antoine / Saint-François-Xavier,0.041474754971513393,0.11059145880574452,0.1520662137772579,45.504490000000004,-73.559200000000004,0.00029274289999959739
31,Métro Place-d'Armes,0.031479631479631481,0.069666712260064739,0.10114634373969622,45.506230000000002,-73.559759999999997,0.0002709316999998366
32,Chenneville / Viger,0.072858358335945547,0.1554017305315204,0.22826008886746596,45.505359999999996,-73.560929999999999,0.00023455849999980669
33,Saint-Urbain / René-Lévesque,0.046494836338176089,0.024157810953835564,0.07065264729201165,45.507899999999999,-73.563112000000004,0.00017457526399967469
34,de la Gauchetière / Bleury,0.013267172683501189,0.028047165377878411,0.041314338061379602,45.504390000000001,-73.562569999999994,0.00018974499999997285
35,de la Commune / Saint-Sulpice,0.025619219729988308,0.046153846153846156,0.071773065883834461,45.504068569842779,-73.55360627174376,0.00051609581457441513
36,Saint-Nicolas / Place d'Youville,0.040978447246760578,0.092594741361305147,0.13357318860806572,45.501974378778961,-73.555156588554368,0.00046186282612907282
37,McGill / d'Youville,0.015011845789360328,0.04104086232676471,0.05605270811612504,45.499749999999999,-73.555660000000003,0.00046483369999963394
38,McGill / des Récollets,0.06031415036605544,0.045850014537809486,0.10616416490386493,45.500779000000001,-73.558825999999996,0.00033237375699990076
39,Saint-Jacques / Saint-Pierre,0.068169546436285103,0.051584670468107677,0.11975421690439278,45.502800000000001,-73.559169999999995,0.00030253609999994989
40,Saint-Jacques / Gauvin,0.0617967494195392,0.019995305264505665,0.081792054684044865,45.500740999999998,-73.560956000000004,0.00026322869699970763
41,de la Gauchetière / University,0.20774420347920491,0.03067034768354758,0.23841455116275251,45.50112,-73.564930000000004,0.00015367849999978721
42,Square Victoria,0.075251100327276832,0.14749233599019007,0.2227434363174669,45.50206,-73.562950000000001,0.00019356529999981653
43,University/René Levesques ,0.043234223300970875,0.083139790345866549,0.12637401364683742,45.501884999999994,-73.567018999999988,0.0001036244260001777
45,de la Gauchetière / Mansfield,0.060588484618645015,0.047281480499977914,0.10786996511862293,45.498709999999996,-73.56671,0.00014714099999998967
46,Milton / Durocher,0.080959271295395777,0.074550368092442462,0.15550963938783824,45.508231000000002,-73.574706999999989,6.2532499999953987e-06
47,King / De la Commune,0.19854869037845282,0.075365605331358762,0.27391429570981157,45.497438000000002,-73.552802,0.00062587792799969396
48,King / Wellington,0.12247824839850846,0.029340540540540541,0.15181878893904899,45.498199999999997,-73.554880000000011,0.0005200371999993142
49,de la Commune / McGill,0.024339907661539116,0.021933474151358042,0.046273381812897155,45.498860000000001,-73.552319999999995,0.00062567439999995601
50,Prince/William,0.14326040931545519,0.087461695607763026,0.23072210492321821,45.497954999999997,-73.558064000000002,0.00039828156099978591
51,Duke / Wellington,0.036522266242341582,0.021282024024662484,0.057804290267004066,45.496429999999997,-73.55583,0.0005119881999998421
52,Belmont / Beaver Hall,0.21826381661462921,0.025534467246476157,0.24379828386110536,45.502326000000004,-73.565138000000005,0.00013813011999973891
55,Peel / ave des Canadiens de Montréal,0.16578934300044693,0.040854629973156413,0.20664397297360335,45.497696999999995,-73.568646000000001,0.00013034832500003895
56,Drummond / Rene Levesques,0.11128081016941188,0.020351801495581238,0.13163261166499313,45.497196000000002,-73.571383999999995,0.00010518083200002797
57,Metcalfe / Sainte-Catherine,0.16917079719124328,0.030348980785477549,0.19951977797672082,45.500684739422283,-73.572156429290757,4.7373526995347014e-05
58,Mansfield / René-Lévesque,0.15468726859850915,0.018372759096213005,0.17306002769472215,45.500149999999998,-73.569280000000006,8.5251699999896183e-05
59,Sainte-Catherine / McGill College,0.18454552612929473,0.028796723882547705,0.21334225001184243,45.501759999999997,-73.571280000000002,4.4473999999979286e-05
60,Drummond / Sainte-Catherine,0.12718204488778054,0.015819781054230209,0.14300182594201075,45.498639303304287,-73.574227094650269,6.1742261993256442e-05
61,Drummond / de Maisonneuve,0.12514588601439408,0.046910018861644288,0.17205590487603836,45.499470000000002,-73.575909999999993,4.5929000000040644e-05
62,de Maisonneuve / Stanley,0.090150604539348089,0.028052733006306937,0.11820333754565503,45.50038,-73.575069999999997,3.5662100000054527e-05
63,de la montagne / Sherbrooke,0.11862762617108723,0.027809054407172143,0.14643668057825937,45.499726000000003,-73.578834000000001,4.9265192000079975e-05
64,de Maisonneuve / University,0.22848057514171161,0.084457794569732236,0.31293836971144384,45.503475000000002,-73.572102999999998,2.4594913999968557e-05
65,Mansfield / Sherbrooke,0.18152384410554345,0.043736501079913608,0.22526034518545707,45.502969999999998,-73.575050000000005,1.2061800000021242e-05
67,University / Milton,0.12710144564427631,0.029865103688955504,0.15696654933323181,45.506240000000005,-73.576219999999992,0.0
68,de Maisonneuve / Aylmer,0.15711781295256486,0.080579968980589375,0.23769778193315422,45.505009999999999,-73.570689999999999,3.2093799999940804e-05
69,Victoria / President-Kennedy,0.29177307551988324,0.074231829259959456,0.36600490477984271,45.503907700000006,-73.573053099999996,1.5468878899973669e-05
71,de Maisonneuve / de Bleury,0.037173166651994015,0.027681282908391776,0.064854449560385788,45.507080000000002,-73.56917,5.0408099999887883e-05
72,Mackay / René-Lévesque,0.056551996663080945,0.013933121019108281,0.070485117682189222,45.494499323782122,-73.574173450469971,0.00014203184303199708
73,Saint-Alexandre / Sainte-Catherine,0.094219800013855853,0.027829867030344357,0.12204966704420021,45.505458000000004,-73.567944999999995,6.9087148999961591e-05
74,Mackay / ste-catherine,0.022619842435572173,0.039985874555184313,0.062605716990756483,45.495841999999996,-73.577056999999996,0.00010881897300019903
75,Square Phillips,0.11745007756137198,0.020594768281900325,0.13804484584327231,45.504010000000001,-73.568650000000005,6.2277799999822423e-05
